"1","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd"
"2","1","Barura","বরুড়া","barura.comilla.gov.bd"
"3","1","Brahmanpara","ব্রাহ্মণপাড়া","brahmanpara.comilla.gov.bd"
"4","1","Chandina","চান্দিনা","chandina.comilla.gov.bd"
"5","1","Chauddagram","চৌদ্দগ্রাম","chauddagram.comilla.gov.bd"
"6","1","Daudkandi","দাউদকান্দি","daudkandi.comilla.gov.bd"
"7","1","Homna","হোমনা","homna.comilla.gov.bd"
"8","1","Laksam","লাকসাম","laksam.comilla.gov.bd"
"9","1","Muradnagar","মুরাদনগর","muradnagar.comilla.gov.bd"
"10","1","Nangalkot","নাঙ্গলকোট","nangalkot.comilla.gov.bd"
"11","1","Comilla Sadar","কুমিল্লা সদর","comillasadar.comilla.gov.bd"
"12","1","Meghna","মেঘনা","meghna.comilla.gov.bd"
"13","1","Monohargonj","মনোহরগঞ্জ","monohargonj.comilla.gov.bd"
"14","1","Sadarsouth","সদর দক্ষিণ","sadarsouth.comilla.gov.bd"
"15","1","Titas","তিতাস","titas.comilla.gov.bd"
"16","1","Burichang","বুড়িচং","burichang.comilla.gov.bd"
"17","1","Lalmai","লালমাই","lalmai.comilla.gov.bd"
"18","2","Chhagalnaiya","ছাগলনাইয়া","chhagalnaiya.feni.gov.bd"
"19","2","Feni Sadar","ফেনী সদর","sadar.feni.gov.bd"
"20","2","Sonagazi","সোনাগাজী","sonagazi.feni.gov.bd"
"21","2","Fulgazi","ফুলগাজী","fulgazi.feni.gov.bd"
"22","2","Parshuram","পরশুরাম","parshuram.feni.gov.bd"
"23","2","Daganbhuiyan","দাগনভূঞা","daganbhuiyan.feni.gov.bd"
"24","3","Brahmanbaria Sadar","ব্রাহ্মণবাড়িয়া সদর","sadar.brahmanbaria.gov.bd"
"25","3","Kasba","কসবা","kasba.brahmanbaria.gov.bd"
"26","3","Nasirnagar","নাসিরনগর","nasirnagar.brahmanbaria.gov.bd"
"27","3","Sarail","সরাইল","sarail.brahmanbaria.gov.bd"
"28","3","Ashuganj","আশুগঞ্জ","ashuganj.brahmanbaria.gov.bd"
"29","3","Akhaura","আখাউড়া","akhaura.brahmanbaria.gov.bd"
"30","3","Nabinagar","নবীনগর","nabinagar.brahmanbaria.gov.bd"
"31","3","Bancharampur","বাঞ্ছারামপুর","bancharampur.brahmanbaria.gov.bd"
"32","3","Bijoynagar","বিজয়নগর","bijoynagar.brahmanbaria.gov.bd    "
"33","4","Rangamati Sadar","রাঙ্গামাটি সদর","sadar.rangamati.gov.bd"
"34","4","Kaptai","কাপ্তাই","kaptai.rangamati.gov.bd"
"35","4","Kawkhali","কাউখালী","kawkhali.rangamati.gov.bd"
"36","4","Baghaichari","বাঘাইছড়ি","baghaichari.rangamati.gov.bd"
"37","4","Barkal","বরকল","barkal.rangamati.gov.bd"
"38","4","Langadu","লংগদু","langadu.rangamati.gov.bd"
"39","4","Rajasthali","রাজস্থলী","rajasthali.rangamati.gov.bd"
"40","4","Belaichari","বিলাইছড়ি","belaichari.rangamati.gov.bd"
"41","4","Juraichari","জুরাছড়ি","juraichari.rangamati.gov.bd"
"42","4","Naniarchar","নানিয়ারচর","naniarchar.rangamati.gov.bd"
"43","5","Noakhali Sadar","নোয়াখালী সদর","sadar.noakhali.gov.bd"
"44","5","Companiganj","কোম্পানীগঞ্জ","companiganj.noakhali.gov.bd"
"45","5","Begumganj","বেগমগঞ্জ","begumganj.noakhali.gov.bd"
"46","5","Hatia","হাতিয়া","hatia.noakhali.gov.bd"
"47","5","Subarnachar","সুবর্ণচর","subarnachar.noakhali.gov.bd"
"48","5","Kabirhat","কবিরহাট","kabirhat.noakhali.gov.bd"
"49","5","Senbug","সেনবাগ","senbug.noakhali.gov.bd"
"50","5","Chatkhil","চাটখিল","chatkhil.noakhali.gov.bd"
"51","5","Sonaimori","সোনাইমুড়ী","sonaimori.noakhali.gov.bd"
"52","6","Haimchar","হাইমচর","haimchar.chandpur.gov.bd"
"53","6","Kachua","কচুয়া","kachua.chandpur.gov.bd"
"54","6","Shahrasti","শাহরাস্তি	","shahrasti.chandpur.gov.bd"
"55","6","Chandpur Sadar","চাঁদপুর সদর","sadar.chandpur.gov.bd"
"56","6","Matlab South","মতলব দক্ষিণ","matlabsouth.chandpur.gov.bd"
"57","6","Hajiganj","হাজীগঞ্জ","hajiganj.chandpur.gov.bd"
"58","6","Matlab North","মতলব উত্তর","matlabnorth.chandpur.gov.bd"
"59","6","Faridgonj","ফরিদগঞ্জ","faridgonj.chandpur.gov.bd"
"60","7","Lakshmipur Sadar","লক্ষ্মীপুর সদর","sadar.lakshmipur.gov.bd"
"61","7","Kamalnagar","কমলনগর","kamalnagar.lakshmipur.gov.bd"
"62","7","Raipur","রায়পুর","raipur.lakshmipur.gov.bd"
"63","7","Ramgati","রামগতি","ramgati.lakshmipur.gov.bd"
"64","7","Ramganj","রামগঞ্জ","ramganj.lakshmipur.gov.bd"
"65","8","Rangunia","রাঙ্গুনিয়া","rangunia.chittagong.gov.bd"
"66","8","Sitakunda","সীতাকুন্ড","sitakunda.chittagong.gov.bd"
"67","8","Mirsharai","মীরসরাই","mirsharai.chittagong.gov.bd"
"68","8","Patiya","পটিয়া","patiya.chittagong.gov.bd"
"69","8","Sandwip","সন্দ্বীপ","sandwip.chittagong.gov.bd"
"70","8","Banshkhali","বাঁশখালী","banshkhali.chittagong.gov.bd"
"71","8","Boalkhali","বোয়ালখালী","boalkhali.chittagong.gov.bd"
"72","8","Anwara","আনোয়ারা","anwara.chittagong.gov.bd"
"73","8","Chandanaish","চন্দনাইশ","chandanaish.chittagong.gov.bd"
"74","8","Satkania","সাতকানিয়া","satkania.chittagong.gov.bd"
"75","8","Lohagara","লোহাগাড়া","lohagara.chittagong.gov.bd"
"76","8","Hathazari","হাটহাজারী","hathazari.chittagong.gov.bd"
"77","8","Fatikchhari","ফটিকছড়ি","fatikchhari.chittagong.gov.bd"
"78","8","Raozan","রাউজান","raozan.chittagong.gov.bd"
"79","8","Karnafuli","কর্ণফুলী","karnafuli.chittagong.gov.bd"
"80","9","Coxsbazar Sadar","কক্সবাজার সদর","sadar.coxsbazar.gov.bd"
"81","9","Chakaria","চকরিয়া","chakaria.coxsbazar.gov.bd"
"82","9","Kutubdia","কুতুবদিয়া","kutubdia.coxsbazar.gov.bd"
"83","9","Ukhiya","উখিয়া","ukhiya.coxsbazar.gov.bd"
"84","9","Moheshkhali","মহেশখালী","moheshkhali.coxsbazar.gov.bd"
"85","9","Pekua","পেকুয়া","pekua.coxsbazar.gov.bd"
"86","9","Ramu","রামু","ramu.coxsbazar.gov.bd"
"87","9","Teknaf","টেকনাফ","teknaf.coxsbazar.gov.bd"
"88","10","Khagrachhari Sadar","খাগড়াছড়ি সদর","sadar.khagrachhari.gov.bd"
"89","10","Dighinala","দিঘীনালা","dighinala.khagrachhari.gov.bd"
"90","10","Panchari","পানছড়ি","panchari.khagrachhari.gov.bd"
"91","10","Laxmichhari","লক্ষীছড়ি","laxmichhari.khagrachhari.gov.bd"
"92","10","Mohalchari","মহালছড়ি","mohalchari.khagrachhari.gov.bd"
"93","10","Manikchari","মানিকছড়ি","manikchari.khagrachhari.gov.bd"
"94","10","Ramgarh","রামগড়","ramgarh.khagrachhari.gov.bd"
"95","10","Matiranga","মাটিরাঙ্গা","matiranga.khagrachhari.gov.bd"
"96","10","Guimara","গুইমারা","guimara.khagrachhari.gov.bd"
"97","11","Bandarban Sadar","বান্দরবান সদর","sadar.bandarban.gov.bd"
